distance,day
6.023948138922804E10,1
6.011742188949089E10,2
6.002135583566698E10,3
5.995145695851936E10,4
5.990746328932493E10,5
5.9889390963846115E10,6
5.9897086738890594E10,7
5.9930413709994125E10,8
5.998932962630462E10,9
6.007354868644608E10,10
6.018298563128473E10,11
6.031767600917278E10,12
6.047711801650068E10,13
6.066155179586405E10,14
6.0870335989571205E10,15
6.1103824323015076E10,16
6.1361239288168976E10,17
6.1643047869484856E10,18
6.1948339683843704E10,19
6.2277694362488304E10,20
6.263007177581778E10,21
6.3005670065002014E10,22
6.3404801907292336E10,23
6.3826238135531235E10,24
6.427083499270614E10,25
6.473724056600173E10,26
6.522641861550407E10,27
6.573689656960178E10,28
6.6269742877919334E10,29
6.6823365624568306E10,30
6.739893391114634E10,31
6.799473649628562E10,32
6.861123898531135E10,33
6.92490043102267E10,34
6.990613809471126E10,35
7.058403049052325E10,36
7.128065840264667E10,37
7.1997480414847E10,38
7.273233586923392E10,39
7.348673502866743E10,40
7.425836823356499E10,41
7.504877779962454E10,42
7.58554926982142E10,43
7.66790074241509E10,44
7.751985829191185E10,45
7.837531568438377E10,46
7.924692140234998E10,47
8.013177604733884E10,48
8.10314120809421E10,49
8.194279540507979E10,50
8.286751762888673E10,51
8.38026357025672E10,52
8.47504621313979E10,53
8.570950260020789E10,54
8.668201941689197E10,55
8.766963168835355E10,56
8.866977327855844E10,57
8.968479920254305E10,58
9.071188447894841E10,59
9.17533843641608E10,60
9.280638035576384E10,61
9.387328510878433E10,62
9.49511153388085E10,63
9.604235192514621E10,64
9.714395620167583E10,65
9.825704909470567E10,66
9.93828183599315E10,67
1.0051814866845285E11,68
1.0166568680987173E11,69
1.028222729854886E11,70
1.0399061900737659E11,71
1.0516751132472786E11,72
1.0635573126965527E11,73
1.0755202304794374E11,74
1.0875922196151596E11,75
1.0997403202667143E11,76
1.1119778391320468E11,77
1.1243182772663945E11,78
1.1367283736603967E11,79
1.1492375427643088E11,80
1.1618121630579962E11,81
1.1744823473206651E11,82
1.1872139553546548E11,83
1.200037552863491E11,84
1.2129186726190192E11,85
1.2258883225635617E11,86
1.2389117229729037E11,87
1.2520035810476193E11,88
1.265178980045459E11,89
1.2784026979661052E11,90
1.2917067513759473E11,91
1.3050556404534569E11,92
1.3184817485442955E11,93
1.3319493113500291E11,94
1.3454910591015099E11,95
1.3590709761268823E11,96
1.3727221203305481E11,97
1.386408237560625E11,98
1.4001451637898483E11,99
1.4139490122203186E11,100
1.427783194827871E11,101
1.4416815087263614E11,102
1.4556071588841574E11,103
1.469594207723337E11,104
1.4836056655409772E11,105
1.4976758434962277E11,106
1.5117675694268817E11,107
1.5259153871528482E11,108
1.540081954150728E11,109
1.5542839176026614E11,110
1.5685381176751913E11,111
1.5828069788045297E11,112
1.5971255590427835E11,113
1.6114561422580246E11,114
1.6258339663678207E11,115
1.6402211864251776E11,116
1.6546532060072006E11,117
1.6690920630153622E11,118
1.6835733128265396E11,119
1.6980588877668854E11,120
1.7125659878805502E11,121
1.727111932203968E11,122
1.741658516242246E11,123
1.7562416162887546E11,124
1.7708229508320386E11,125
1.785438501898325E11,126
1.8000499222330493E11,127
1.814693287054796E11,128
1.829330194552037E11,129
1.8439968008439758E11,130
1.8586546606589267E11,131
1.8733213101971783E11,132
1.888014338022078E11,133
1.902695254286548E11,134
1.9174003650849628E11,135
1.9320911644478806E11,136
1.946803998129226E11,137
1.96150035480826E11,138
1.9762166085776505E11,139
1.990914253437638E11,140
2.0056296806883887E11,141
2.02032440022324E11,142
2.0350160964313138E11,143
2.0497224450746957E11,144
2.064404999471398E11,145
2.0791001464212823E11,146
2.093769481106192E11,147
2.108449369965182E11,148
2.1231014602448715E11,149
2.1377620876604987E11,150
2.1523929616126236E11,151
2.1670303768860736E11,152
2.181636115010677E11,153
2.196227840945449E11,154
2.2108231547311426E11,155
2.2253839645113565E11,156
2.239946419102535E11,157
2.254472523199634E11,158
2.2689983501434506E11,159
2.2834860107402185E11,160
2.297971493306561E11,161
2.3124170241957672E11,162
2.3268584972914383E11,163
2.341258263805019E11,164
2.355633816928253E11,165
2.3700025328726743E11,166
2.3843269672724622E11,167
2.3986427376933173E11,168
2.4129125473451553E11,169
2.4271718874956006E11,170
2.4413836177916473E11,171
2.4555830943957642E11,172
2.469733342122395E11,173
2.483869573351849E11,174
2.497954986663995E11,175
2.512006763556685E11,176
2.526041920497318E11,177
2.5400239324831906E11,178
2.5539876153759845E11,179
2.5678966388472275E11,180
2.581785645620255E11,181
2.595618508170564E11,182
2.6094296879803177E11,183
2.6231832683237808E11,184
2.636913521464757E11,185
2.6505847493363867E11,186
2.664213692706368E11,187
2.6778168831681647E11,188
2.691358965010918E11,189
2.704873703438639E11,190
2.718325980456659E11,191
2.7317493451133856E11,192
2.7451089245186487E11,193
2.7584380441460834E11,194
2.771702083464384E11,195
2.784934137075867E11,196
2.7980998439287646E11,197
2.811215385166267E11,198
2.8242966924436847E11,199
2.8373098069025476E11,200
2.8502872149239435E11,201
2.863195234349073E11,202
2.8760660961093384E11,203
2.8888664014048035E11,204
2.9016281189652856E11,205
2.914318139878812E11,206
2.926968164041634E11,207
2.939545378830356E11,208
2.952065296656602E11,209
2.9645431438715173E11,210
2.9769465639081866E11,211
2.989306556433323E11,212
3.0015910766121106E11,213
3.0138308329992236E11,214
3.025994098451058E11,215
3.038111284307943E11,216
3.0501509869532007E11,217
3.062143314526825E11,218
3.0740571926533716E11,219
3.0859073655016956E11,220
3.097708258230476E11,221
3.109429300668968E11,222
3.121099817622422E11,223
3.1326895819218353E11,224
3.144227595124257E11,225
3.155683978361748E11,226
3.16708740446925E11,227
3.178408348064694E11,228
3.189675147898792E11,229
3.2008586371462006E11,230
3.211972701661579E11,231
3.2230308788167944E11,232
3.2340045487685693E11,233
3.2449211924339685E11,234
3.255752560716445E11,235
3.26652578255043E11,236
3.2772129842726276E11,237
3.28784093796486E11,238
3.2983821499768536E11,239
3.3088630307750616E11,240
3.319256471197583E11,241
3.3295754179756647E11,242
3.339832443196899E11,243
3.3500010224718134E11,244
3.360106642205714E11,245
3.370123173235317E11,246
3.380075724513425E11,247
3.389938566223008E11,248
3.3997364255726465E11,249
3.4094439761139954E11,250
3.4190855591229E11,251
3.42863625544509E11,252
3.438108000930447E11,253
3.4475123337675134E11,254
3.456824952763619E11,255
3.4660692168289325E11,256
3.475221241463407E11,257
3.4843039857813007E11,258
3.493293985573325E11,259
3.502213796420716E11,260
3.5110403779120483E11,261
3.5197958784572473E11,262
3.5284576848603735E11,263
3.537036659154878E11,264
3.545543245682205E11,265
3.553955478146036E11,266
3.562294471883287E11,267
1.395113758550435E11,268
1.3697027592831592E11,269
1.3392375448743889E11,270
1.3030504809857115E11,271
1.2605508190462112E11,272
1.210900473261926E11,273
1.153526400405478E11,274
1.0877414894498695E11,275
1.0129065960653676E11,276
9.288710157604797E10,277
8.355898830001665E10,278
7.347347364260472E10,279
6.3059202765928925E10,280
5.355059270240066E10,281
4.773224625417015E10,282
5.0034276206617546E10,283
6.286231821086523E10,284
8.45710099681738E10,285
1.1178907622076564E11,286
1.4206890957108417E11,287
1.742257774791393E11,288
2.0736195846563937E11,289
2.402869971496727E11,290
2.718691016769807E11,291
3.0083213096439716E11,292
3.262296601825878E11,293
3.4727371174591064E11,294
3.635883030648734E11,295
3.74697128509912E11,296
3.769347080513053E11,297
3.7773515109926556E11,298
3.782906240232795E11,299
3.7883366914864667E11,300
3.7936627646063586E11,301
3.7988998799227985E11,302
3.804036890822464E11,303
3.809087406768937E11,304
3.8140418335397473E11,305
3.818913211692924E11,306
3.823678175611874E11,307
3.828350136312848E11,308
3.832934250577751E11,309
3.8374185769072833E11,310
3.841814747500982E11,311
3.8461118377113153E11,312
3.850320881810726E11,313
3.854431110258248E11,314
3.858452833419432E11,315
3.8623755465942615E11,316
3.8662088663257007E11,317
3.869941610352009E11,318
2.393925408863419E11,319
2.0938965701292688E11,320
2.306231412488313E11,321
1.9097242900631964E11,322
1.493808740221394E11,323
1.3374051627901216E11,324
1.3541673561449966E11,325
1.2850461033161543E11,326
1.0634987841298769E11,327
7.046035213932965E10,328
3.486651854046322E10,329
3.881982558203496E10,330
7.732742199900308E10,331
1.1964681843387784E11,332
1.6059892940367484E11,333
1.98089367524729E11,334
2.312037307229044E11,335
2.5952251932276135E11,336
2.832708481013055E11,337
3.028367392263643E11,338
3.1884909684496094E11,339
3.318603196239124E11,340
3.4243683774368304E11,341
3.510572282709745E11,342
3.580887603565149E11,343
3.6386543311538715E11,344
3.6862494578295404E11,345
3.72580121513149E11,346
3.7587930422683826E11,347
3.786561101457125E11,348
3.810020202350463E11,349
3.83000809606216E11,350
3.8470860610234607E11,351
3.86176385187168E11,352
3.87443734585007E11,353
3.8853761384695166E11,354
3.8948482509663525E11,355
3.903020818392636E11,356
3.9100682275288116E11,357
3.941609711827986E11,358
3.941457335918548E11,359
3.9412114315055475E11,360
3.9408715055014984E11,361
3.940438562276962E11,362
3.9399123744335583E11,363
3.939292245611153E11,364
3.938579912100488E11,365
3.937773724075333E11,366
3.936875904105591E11,367
3.9358843427428894E11,368
3.934801747264371E11,369
3.933625550582895E11,370
3.932358942974577E11,371
3.9309989018266187E11,372
3.929549098567927E11,373
3.928008078466286E11,374
3.926373928629094E11,375
3.924651038291631E11,376
3.922835256277123E11,377
3.920931447737331E11,378
3.918935014403182E11,379
3.9168512949939087E11,380
3.91467524685772E11,381
3.912412679782991E11,382
3.910058109580134E11,383
3.9076178144577136E11,384
3.905089149128986E11,385
3.902469025037462E11,386
3.899764417571855E11,387
3.896968752169019E11,388
3.8940894653412024E11,389
3.8911195520102246E11,390
3.88806690661776E11,391
3.884924097027194E11,392
3.881699472255253E11,393
3.878385176699711E11,394
3.874990010436759E11,395
3.871510184857568E11,396
3.867941487230526E11,397
3.864293387129819E11,398
3.8605569870359186E11,399
3.856742198076477E11,400
3.852839712915098E11,401
3.848859880139783E11,402
3.844792986802768E11,403
3.8406498146917426E11,404
3.8364202495879974E11,405
3.832115502049882E11,406
3.8277306976610815E11,407
3.8232605613566046E11,408
3.818716938042816E11,409
3.814088730314121E11,410
3.809388200036095E11,411
3.804603864771571E11,412
3.799748398323185E11,413
3.794809938157302E11,414
3.789801564822015E11,415
3.7847110407513025E11,416
3.779551847877908E11,417
3.774318093318951E11,418
3.769003511286823E11,419
3.763622175246803E11,420
3.758160933148163E11,421
3.752634245704793E11,422
3.747028604541501E11,423
3.741358851674468E11,424
3.735611128023274E11,425
3.729800650795296E11,426
3.7239132159410974E11,427
3.717964409585994E11,428
3.711947396783463E11,429
3.705855001479233E11,430
3.6997033509493256E11,431
3.693477404666238E11,432
3.687193642446476E11,433
3.680836699751063E11,434
3.674423402113806E11,435
3.66793806721237E11,436
3.661397859323623E11,437
3.654786784670167E11,438
3.6481223391518896E11,439
3.641396830141832E11,440
3.6346022593580133E11,441
3.627756606370806E11,442
3.6208431271701196E11,443
1.785158130033306E11,444
1.7846271331782968E11,445
1.782771668704742E11,446
1.7795596172995544E11,447
1.7749616231082822E11,448
1.768917137279535E11,449
1.761380255090207E11,450
1.752268823280258E11,451
1.7414763552632413E11,452
1.7289196278711688E11,453
1.7144333983117957E11,454
1.6978947805976535E11,455
1.6790691542332587E11,456
1.6577723537690442E11,457
1.6336676618904855E11,458
1.6064709556725534E11,459
1.5756845159838422E11,460
1.540850179871131E11,461
1.501247942952291E11,462
1.4559277229253598E11,463
1.403818968692176E11,464
1.3431532533194928E11,465
1.2717388549013606E11,466
1.1858106136219795E11,467
1.0796196049900621E11,468
9.411959287785747E10,469
5.343386820258495E10,470
9.520217232503864E9,471
1.277705291917291E10,472
4.46141882428619E10,473
7.741946823955824E10,474
1.0805307678495694E11,475
1.3574094998877701E11,476
1.602694125559017E11,477
1.8196919625585672E11,478
2.0129508293672745E11,479
2.1891220214727454E11,480
2.3528855883560138E11,481
2.5030739372023962E11,482
2.6147055308359235E11,483
2.6155749193668274E11,484
2.4655399074249393E11,485
2.42206661635285E11,486
2.5937240229939478E11,487
2.8395113564377423E11,488
3.048150226085157E11,489
3.1648011515472614E11,490
3.207053834379274E11,491
3.2254296193321826E11,492
3.216530588343276E11,493
3.2076231391279987E11,494
3.1986982230124396E11,495
3.1897401776315125E11,496
3.180776171508898E11,497
3.1717836335335254E11,498
3.1627858060808765E11,499
3.153759278758498E11,500
2.0428541167532358E11,501
1.8217571437341006E11,502
1.5873951247073566E11,503
1.5048024140833423E11,504
1.5249190192469302E11,505
1.508708277044452E11,506
1.453445144517957E11,507
1.3752092166170718E11,508
1.2806138800960478E11,509
1.1696944694189034E11,510
1.0366000381973834E11,511
8.675543296560326E10,512
3.3581624368687252E10,513
1.630069618677623E9,514
2.5352692594369007E10,515
5.3971191378274025E10,516
7.852101326772487E10,517
9.912203394311646E10,518
1.1630309510225941E11,519
1.307173614551901E11,520
1.4286073853044464E11,521
1.5320198821065564E11,522
1.6206344051223453E11,523
1.6974297468184528E11,524
1.7643706049564377E11,525
1.8233316342843338E11,526
1.875509124575531E11,527
1.9220540710544827E11,528
1.9638764165743948E11,529
2.001565196215194E11,530
2.0357838035837665E11,531
2.0669099105400522E11,532
2.0954075414203308E11,533
2.1215237683282922E11,534
2.1455932552393137E11,535
2.1677803366734442E11,536
2.1883330893367648E11,537
2.2073622133043558E11,538
2.225034390741223E11,539
2.241489957099048E11,540
2.2567910822884177E11,541
2.2710673030873566E11,542
2.2843611659645145E11,543
2.2967757466526822E11,544
2.308340201398783E11,545
2.3191376866785016E11,546
2.3291881885626538E11,547
2.338559546500684E11,548
2.3472654879468704E11,549
2.3553519182495377E11,550
2.362858106595323E11,551
2.369792031849313E11,552
2.3761958192062384E11,553
2.3820752534482535E11,554
2.387465368221195E11,555
2.3923706506892017E11,556
2.3968202205574927E11,557
2.4008179245472534E11,558
2.4043878740345956E11,559
2.4075337614076828E11,560
2.4102721604637674E11,561
2.4126166706507758E11,562
2.4145714010376425E11,563
2.4161507043840298E11,564
2.4173592743512775E11,565
2.4182083372144354E11,566
2.4187033443451736E11,567
2.4188527103010403E11,568
2.4186627707447913E11,569
2.4181393824892346E11,570
2.4172898564473755E11,571
2.4161193905195056E11,572
2.4146312530989508E11,573
2.412834327470288E11,574
2.4107288909840533E11,575
2.4083249164058084E11,576
2.4056206846371463E11,577
2.4026272702534183E11,578
2.3993410525791934E11,579
2.3957742066584155E11,580
2.39192128489088E11,581
2.387795551079553E11,582
2.383395568586511E11,583
2.378718337560402E11,584
2.373778723826688E11,585
2.3685669560578146E11,586
2.3630989561782974E11,587
2.3573633192817847E11,588
2.3513770380786368E11,589
2.352184737872885E11,590
2.3438800520660962E11,591
2.3355808358603964E11,592
2.3273080415026038E11,593
2.3190509247372208E11,594
2.3107988112055417E11,595
2.3025725033058853E11,596
2.2943508368491E11,597
2.2861545173955988E11,598
2.2779624380319138E11,599
2.2697952102143005E11,600
2.2616317825821057E11,601
2.2534926754439117E11,602
2.2453568911106686E11,603
2.2372448619162137E11,604
2.2291459506490106E11,605
2.221049578533243E11,606
2.21297605237292E11,607
2.204904499427842E11,608
2.196855147361557E11,609
2.1888071693616583E11,610
2.1807807178277887E11,611
2.1727550093570978E11,612
2.1647501251466156E11,613
2.156745322561253E11,614
2.1487606158331772E11,615
2.140785453847744E11,616
2.1328093277478262E11,617
2.124852159648679E11,618
2.116893296525077E11,619
2.108952604838799E11,620
2.1010094622253525E11,621
2.09308368428263E11,622
2.0851546762053226E11,623
2.0772422076554852E11,624
2.069325708206966E11,625
2.06142490664221E11,626
2.053529308611446E11,627
2.0456284423505988E11,628
2.03774198507108E11,629
2.0298494129405298E11,630
2.0219703754302054E11,631
2.0140843614690247E11,632
2.0062109982187952E11,633
1.9983297839514453E11,634
1.9904603290346527E11,635
1.9825821376404102E11,636
1.9747148089315454E11,637
1.9668478710423813E11,638
1.958970853028296E11,639
1.9511033478616824E11,640
1.9432248593432086E11,641
1.9353549834677426E11,642
1.927473217857127E11,643
1.9195991672942E11,644
1.9117123198113614E11,645
1.9038322947709235E11,646
1.8959385672472733E11,647
1.8880507769881836E11,648
1.8801584398170544E11,649
1.8722510506148453E11,650
1.2745318121795128E11,651
1.2433617402899814E11,652
1.2094973616755402E11,653
1.1723513167367992E11,654
1.131353488702115E11,655
1.0854883221291415E11,656
1.0335788555019423E11,657
9.735524763282684E10,658
9.024505710348944E10,659
8.14684690042461E10,660
6.986358508064688E10,661
5.229492388841012E10,662
2.6756755111768528E10,663
2.707006228603341E9,664
1.9512519155844032E10,665
3.925074901715074E10,666
5.229729050763668E10,667
4.779409676190427E10,668
2.5214167207066113E10,669
1.9056718191227936E10,670
3.641799581277735E10,671
6.413023190438352E10,672
9.346885893761969E10,673
1.1851965596701779E11,674
1.3841331038122086E11,675
1.645510446620995E11,676
1.6554399661825436E11,677
1.6399275803430667E11,678
1.5854035172468054E11,679
1.6308094799633865E11,680
1.622566616466875E11,681
1.6143080439247513E11,682
1.606022691894601E11,683
1.597731080389378E11,684
1.5894119937938858E11,685
1.581086908943373E11,686
1.5727348519534546E11,687
1.564377119517671E11,688
1.5559895170843732E11,689
1.5475962826920004E11,690
1.3659299332568404E11,691
1.3443595570257918E11,692
1.3153493825104283E11,693
1.2840344170074945E11,694
1.2523847227728148E11,695
1.2208510729334091E11,696
1.1895727276853682E11,697
1.1583939311444344E11,698
1.1272943992443944E11,699
1.09610132676052E11,700
1.0648107910363185E11,701
1.0332670543023143E11,702
1.0014785165701955E11,703
9.693348101678351E10,704
9.367234101706859E10,705
9.036551396067874E10,706
8.699718093528159E10,707
8.356842024047003E10,708
8.00630645011457E10,709
7.648309338870267E10,710
7.281370749342235E10,711
6.906129663452357E10,712
6.521858269699103E10,713
6.1306760757144394E10,714
5.734650794306015E10,715
5.337598823237582E10,716
4.9463394478910515E10,717
4.5659780639389786E10,718
4.202393715205014E10,719
3.857664826146027E10,720
3.533912507328628E10,721
3.2303346733108414E10,722
2.947010568762947E10,723
2.6821597301992615E10,724
2.435250522621586E10,725
2.2047031788984028E10,726
1.9890597905495945E10,727
1.7877457887667397E10,728
1.599207586254098E10,729
1.4229736312785904E10,730
1.2577274870542418E10,731
1.103103875203763E10,732
9.579957180413956E9,733
8.221273894098044E9,734
6.945673012704768E9,735
5.751097029193614E9,736
4.63105487499361E9,737
3.5798654416094646E9,738
2.5961934361377935E9,739
1.673853640394904E9,740
8.118189990845598E8,741
4832567.303437374,742
7.47764893455265E8,743
1.4510789288645158E9,744
2.105548267461094E9,745
2.7152037597114697E9,746
3.280729189664744E9,747
3.8050616919150896E9,748
4.2908524065592165E9,749