xVelocity,yVelocity,time
4864.07160413781,40341.53066241646,86400.0
4365.991254909721,40418.7661273996,172800.0
3863.5699666129963,40496.331308731475,259200.0
3357.788084316838,40565.25815154301,345600.0
2849.2677370881884,40623.613959791895,432000.0
2338.5744914240645,40670.6732831433,518400.0
1826.2627381671114,40706.078832935804,604800.0
1312.885710388932,40729.63130572912,691200.0
798.9972559766574,40741.21938899106,777600.0
285.1510516349759,40740.79177326452,864000.0
-228.10112986915087,40728.344319712305,950400.0
-740.2115342161671,40703.91341605701,1036800.0
-1250.6386854548985,40667.57207026788,1123200.0
-1758.8496747494526,40619.42726663959,1209600.0
-2264.3224107443743,40559.617901619706,1296000.0
-2766.547787261854,40488.312965517645,1382400.0
-3265.031736167685,40405.70980165102,1468800.0
-3759.2971406765178,40312.03235825788,1555200.0
-4248.885589671301,40207.529393218036,1641600.0
-4733.358957904651,40092.47261667374,1728000.0
-5212.300800725021,39967.15477117835,1814400.0
-5685.3175554505815,39831.88765754205,1900800.0
-6152.039544769815,39687.0001195232,1987200.0
-6612.121780614117,39532.836003395416,2073600.0
-7065.244569785224,39369.752109650006,2160000.0
-7511.113925242403,39198.11615446266,2246400.0
-7949.461789297008,39018.304758166014,2332800.0
-8380.046077034429,38830.70147705188,2419200.0
-8802.650550050794,38635.69489356072,2505600.0
-9217.084532057013,38433.67677837923,2592000.0
-9623.182479042993,38225.04033626534,2678400.0
-10020.803417561512,38010.1785456168,2764800.0
-10409.83026523147,37789.48259996029,2851200.0
-10790.169047853306,37563.34045771003,2937600.0
-11161.748027555604,37332.13550476348,3024000.0
-11524.51675621301,37096.24533282433,3110400.0
-11878.445067967235,36856.04063475709,3196800.0
-12223.522024136784,36611.88421684234,3283200.0
-12559.754823114243,36364.13012650327,3369600.0
-12887.167687013269,36113.12289293305,3456000.0
-13205.80073599124,35859.19687706135,3542400.0
-13515.708860166505,35602.67572651324,3628800.0
-13816.96059814257,35343.871930447545,3715200.0
-14109.63703010124,35083.08646873006,3801600.0
-14393.830692490721,34820.608549463795,3888000.0
-14669.644520361258,34556.7154286198,3974400.0
-14937.190822468618,34291.67230537641,4060800.0
-15196.590293402745,34025.732286711165,4147200.0
-15447.97106617992,33759.136414835346,4233600.0
-15691.467807948948,33492.11375116254,4320000.0
-15927.220860785228,33224.88151068152,4406400.0
-16155.375428896868,32957.645240823265,4492800.0
-16376.080812994689,32690.599039220186,4579200.0
-16589.48969208814,32423.925804968443,4665600.0
-16795.757452508085,32157.797518407817,4752000.0
-16995.041563560153,31892.375544784896,4838400.0
-17187.500998928404,31627.810957409678,4924800.0
-17373.295702631993,31364.244876367666,5011200.0
-17552.586098132186,31101.808819156853,5097600.0
-17725.532638999986,30840.625059961705,5184000.0
-17892.29539941463,30580.80699461747,5270400.0
-18053.033702656205,30322.459508638916,5356800.0
-18207.90578568464,30065.679346020755,5443200.0
-18357.06849784731,29810.55547678646,5529600.0
-18500.677031737665,29557.169461600985,5616000.0
-18638.8846842206,29305.595812053187,5702400.0
-18771.842645651464,29055.90234551684,5788800.0
-18899.699815335145,28808.15053385194,5875200.0
-19022.602641293888,28562.395845604766,5961600.0
-19140.694982429068,28318.68808188289,6048000.0
-19254.117991159474,28077.071706814033,6134400.0
-19363.01001457172,27837.586174629218,6220800.0
-19467.506511979173,27600.26625730907,6307200.0
-19567.73998647198,27365.14238019753,6393600.0
-19663.839927337154,27132.240979517886,6480000.0
-19755.93275870101,26901.58490943131,6566400.0
-19844.141786243832,26673.193956292933,6652800.0
-19928.58712529379,26447.085590303304,6739200.0
-20009.385570642375,26223.2762787035,6825600.0
-20086.65029814966,26001.78427814419,6912000.0
-20160.49003078793,25782.6370032037,6998400.0
-20231.00607186925,25565.89653123504,7084800.0
-20298.276373919143,25351.796123600147,7171200.0
-20362.08980138608,25143.10245208037,7257600.0